flow, source, sink, period, period_unit, deadline, deadline_unit, size(bytes)
0, node0_0_4_1, node0_0_7_0, 2500, MICRO_SECOND, 521, MICRO_SECOND, 228
1, node0_0_15_0, node0_0_11_1, 2500, MICRO_SECOND, 604, MICRO_SECOND, 134
2, node0_0_4_1, node0_0_9_1, 2500, MICRO_SECOND, 612, MICRO_SECOND, 265
3, node0_0_3_1, node0_0_7_0, 2500, MICRO_SECOND, 805, MICRO_SECOND, 209
4, node0_0_6_1, node0_0_14_0, 5000, MICRO_SECOND, 614, MICRO_SECOND, 129
5, node0_0_7_1, node0_0_2_1, 2500, MICRO_SECOND, 752, MICRO_SECOND, 174
6, node0_0_8_0, node0_0_0_1, 1000, MICRO_SECOND, 771, MICRO_SECOND, 177
7, node0_0_4_1, node0_0_5_0, 5000, MICRO_SECOND, 666, MICRO_SECOND, 242
8, node0_0_7_1, node0_0_7_0, 2500, MICRO_SECOND, 711, MICRO_SECOND, 172
9, node0_0_5_1, node0_0_11_1, 1000, MICRO_SECOND, 971, MICRO_SECOND, 280
10, node0_0_13_0, node0_0_1_1, 2500, MICRO_SECOND, 871, MICRO_SECOND, 139
11, node0_0_9_0, node0_0_11_1, 1000, MICRO_SECOND, 686, MICRO_SECOND, 262
12, node0_0_13_1, node0_0_14_0, 2500, MICRO_SECOND, 987, MICRO_SECOND, 215
13, node0_0_6_1, node0_0_12_1, 2500, MICRO_SECOND, 803, MICRO_SECOND, 283
14, node0_0_3_1, node0_0_5_0, 5000, MICRO_SECOND, 871, MICRO_SECOND, 247
15, node0_0_15_0, node0_0_5_0, 1000, MICRO_SECOND, 640, MICRO_SECOND, 126
16, node0_0_1_0, node0_0_7_0, 2500, MICRO_SECOND, 790, MICRO_SECOND, 185
17, node0_0_9_0, node0_0_2_0, 1000, MICRO_SECOND, 510, MICRO_SECOND, 169
18, node0_0_6_1, node0_0_12_1, 5000, MICRO_SECOND, 556, MICRO_SECOND, 249
19, node0_0_15_0, node0_0_11_1, 1000, MICRO_SECOND, 637, MICRO_SECOND, 141
20, node0_0_3_1, node0_0_7_0, 5000, MICRO_SECOND, 852, MICRO_SECOND, 203
21, node0_0_3_1, node0_0_14_0, 2500, MICRO_SECOND, 591, MICRO_SECOND, 168
22, node0_0_12_0, node0_0_11_1, 2500, MICRO_SECOND, 565, MICRO_SECOND, 178
23, node0_0_5_1, node0_0_11_0, 2500, MICRO_SECOND, 911, MICRO_SECOND, 259
24, node0_0_7_1, node0_0_2_1, 1000, MICRO_SECOND, 672, MICRO_SECOND, 184
25, node0_0_6_1, node0_0_4_0, 2500, MICRO_SECOND, 643, MICRO_SECOND, 126
26, node0_0_7_1, node0_0_0_0, 2500, MICRO_SECOND, 638, MICRO_SECOND, 153
27, node0_0_15_1, node0_0_5_0, 5000, MICRO_SECOND, 954, MICRO_SECOND, 266
28, node0_0_8_0, node0_0_7_0, 1000, MICRO_SECOND, 634, MICRO_SECOND, 132
29, node0_0_1_0, node0_0_14_0, 1000, MICRO_SECOND, 843, MICRO_SECOND, 229
30, node0_0_6_0, node0_0_14_1, 5000, MICRO_SECOND, 980, MICRO_SECOND, 179
31, node0_0_6_0, node0_0_3_0, 1000, MICRO_SECOND, 611, MICRO_SECOND, 243
32, node0_0_3_1, node0_0_11_1, 2500, MICRO_SECOND, 660, MICRO_SECOND, 299
33, node0_0_1_0, node0_0_14_1, 5000, MICRO_SECOND, 633, MICRO_SECOND, 270
34, node0_0_1_0, node0_0_0_0, 5000, MICRO_SECOND, 717, MICRO_SECOND, 144
35, node0_0_6_1, node0_0_0_0, 2500, MICRO_SECOND, 845, MICRO_SECOND, 239
36, node0_0_15_1, node0_0_1_1, 5000, MICRO_SECOND, 634, MICRO_SECOND, 254
37, node0_0_3_1, node0_0_8_1, 2500, MICRO_SECOND, 675, MICRO_SECOND, 154
38, node0_0_5_1, node0_0_4_0, 5000, MICRO_SECOND, 750, MICRO_SECOND, 287
39, node0_0_6_0, node0_0_2_1, 2500, MICRO_SECOND, 503, MICRO_SECOND, 281
40, node0_0_15_1, node0_0_11_1, 2500, MICRO_SECOND, 558, MICRO_SECOND, 258
41, node0_0_5_1, node0_0_12_1, 2500, MICRO_SECOND, 725, MICRO_SECOND, 147
42, node0_0_6_1, node0_0_12_1, 2500, MICRO_SECOND, 858, MICRO_SECOND, 232
43, node0_0_7_1, node0_0_12_1, 5000, MICRO_SECOND, 663, MICRO_SECOND, 273
44, node0_0_15_0, node0_0_9_1, 2500, MICRO_SECOND, 866, MICRO_SECOND, 262
45, node0_0_5_1, node0_0_2_0, 5000, MICRO_SECOND, 849, MICRO_SECOND, 144
46, node0_0_15_0, node0_0_8_1, 1000, MICRO_SECOND, 712, MICRO_SECOND, 149
47, node0_0_1_0, node0_0_4_0, 2500, MICRO_SECOND, 524, MICRO_SECOND, 211
48, node0_0_5_1, node0_0_0_0, 5000, MICRO_SECOND, 946, MICRO_SECOND, 218
49, node0_0_15_1, node0_0_14_0, 5000, MICRO_SECOND, 998, MICRO_SECOND, 172
50, node0_0_6_0, node0_0_3_0, 1000, MICRO_SECOND, 564, MICRO_SECOND, 137
51, node0_0_5_1, node0_0_3_0, 1000, MICRO_SECOND, 819, MICRO_SECOND, 290
52, node0_0_13_1, node0_0_7_0, 5000, MICRO_SECOND, 883, MICRO_SECOND, 284
53, node0_0_5_1, node0_0_4_0, 2500, MICRO_SECOND, 835, MICRO_SECOND, 204
54, node0_0_13_0, node0_0_8_1, 1000, MICRO_SECOND, 693, MICRO_SECOND, 236
55, node0_0_13_1, node0_0_9_1, 2500, MICRO_SECOND, 945, MICRO_SECOND, 207
56, node0_0_8_0, node0_0_0_0, 1000, MICRO_SECOND, 588, MICRO_SECOND, 252
57, node0_0_15_0, node0_0_0_0, 2500, MICRO_SECOND, 985, MICRO_SECOND, 184
