FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,120,2000,node0_0_0_6|P0-sw_0_8|e1|6|P1-sw_0_1|e3|5|P1-sw_0_0|e8|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_1,100,5000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_2,800,10000,node0_0_0_6|P0-sw_0_8|e1|2|P3-sw_0_1|e5|1|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_3,140,5000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_4,100,1000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_5,100,5000,node0_0_0_6|P0-sw_0_8|e1|7|P3-sw_0_1|e5|6|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_7,120,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_9,120,1000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|5|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_11,160,5000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_12,160,5000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_13,120,2000,node0_0_0_6|P0-sw_0_8|e1|5|P3-sw_0_1|e5|7|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_14,120,5000,node0_0_0_9|P2-sw_0_4|e10|3|node0_0_0_7
VLAN_0_Flow_15,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_16,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_17,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_18,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_19,40,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_20,60,1000,node0_0_0_9|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_21,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_22,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_23,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_24,40,2000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_25,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_27,60,1000,node0_0_0_9|P1-sw_0_4|e9|7|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_28,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_29,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
