TC3 scheduled/num_streams 114/173 = 65.9%
k: 3 (100.0, '%', 'unscheduled', 0, 'total', 24, 'e2e too large', [], 'bandwidth violation', [])
 cycle_time: 100us bandwidth: 6250.0bytes k: 2 (92.0, '%', 'unscheduled', 4, 'total', 52, 'e2e too large', [], 'bandwidth violation', [106, 125, 134, 136])
 cycle_time: 50us bandwidth: 3125.0bytes k: 1 (43.0, '%', 'unscheduled', 55, 'total', 97, 'e2e too large', [], 'bandwidth violation', [16, 60, 29, 148, 55, 85, 80, 13, 104, 14, 156, 91, 81, 64, 18, 89, 172, 116, 88, 59, 7, 48, 149, 79, 108, 27, 43, 94, 23, 40, 95, 11, 58, 30, 114, 112, 127, 8, 25, 66, 107, 100, 71, 9, 130, 82, 171, 121, 47, 128, 39, 111, 6, 131, 65])
 cycle_time: 25us bandwidth: 1250.0bytes Stream: id 80 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 40.0| deadline 21.64 | size 1233| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 103 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_4_2 | period 100.0| deadline 21.84 | size 1116| injection delay:1['node0_0_0_1', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q5', 'q7']
Stream: id 154 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_0_0 | period 40.0| deadline 21.96 | size 861| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_0']['q6', 'q7', 'q5']
Stream: id 150 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_2_2 | period 200.0| deadline 22.0 | size 293| injection delay:1['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q6', 'q7', 'q5', 'q7']
Stream: id 159 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 40.0| deadline 22.32 | size 719| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5']
Stream: id 161 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_1_2 | period 200.0| deadline 22.32 | size 811| injection delay:1['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q7', 'q6', 'q5', 'q7']
Stream: id 18 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_2_2 | period 200.0| deadline 22.52 | size 545| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q7', 'q5', 'q6', 'q5']
Stream: id 57 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_1_1 | period 200.0| deadline 22.56 | size 245| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5', 'q7']
Stream: id 28 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_1_0 | period 40.0| deadline 22.6 | size 1009| injection delay:0['node0_0_1_3', 'sw_0_1', 'node0_0_1_0']['q7']
Stream: id 0 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_1 | period 200.0| deadline 22.96 | size 257| injection delay:1['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q7', 'q5', 'q6']
Stream: id 121 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 100.0| deadline 23.0 | size 591| injection delay:1['node0_0_5_3', 'sw_0_5', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q6', 'q5', 'q7', 'q6', 'q7', 'q6']
Stream: id 85 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_2 | period 100.0| deadline 23.16 | size 1248| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q7', 'q6', 'q7']
Stream: id 8 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_0_2 | period 100.0| deadline 23.24 | size 1322| injection delay:0['node0_0_1_3', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q6', 'q7']
Stream: id 102 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_1 | period 200.0| deadline 23.24 | size 222| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 27 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_0_0 | period 40.0| deadline 23.6 | size 726| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 82 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_2 | period 100.0| deadline 23.6 | size 1269| injection delay:1['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_2']['q6', 'q7']
Stream: id 89 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_4_2 | period 200.0| deadline 23.72 | size 1419| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q7', 'q6', 'q5']
Stream: id 116 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_4_1 | period 100.0| deadline 24.08 | size 1265| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q5']
Stream: id 40 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_2 | period 100.0| deadline 24.16 | size 1067| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'node0_0_1_2']['q7', 'q6']
Stream: id 25 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_2_2 | period 100.0| deadline 24.36 | size 1450| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q6', 'q7', 'q6']
Stream: id 60 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_1 | period 200.0| deadline 24.4 | size 1344| injection delay:0['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q7', 'q6', 'q7']
Stream: id 119 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_2_0 | period 200.0| deadline 24.48 | size 561| injection delay:1['node0_0_2_3', 'sw_0_2', 'node0_0_2_0']['q7']
Stream: id 58 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_2 | period 40.0| deadline 24.88 | size 1104| injection delay:1['node0_0_0_3', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 91 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_0_2 | period 100.0| deadline 24.88 | size 879| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'node0_0_0_2']['q7', 'q6']
Stream: id 5 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_0_2 | period 200.0| deadline 25.16 | size 289| injection delay:0['node0_0_0_3', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 23 | k_group 1 | q_n 3 | node0_0_2_3->node0_0_0_2 | period 200.0| deadline 25.52 | size 1071| injection delay:0['node0_0_2_3', 'sw_0_2', 'sw_0_1', 'sw_0_0', 'node0_0_0_2']['q7', 'q6', 'q5']
Stream: id 138 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_4_1 | period 200.0| deadline 25.56 | size 231| injection delay:0['node0_0_0_3', 'sw_0_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q7', 'q6', 'q7']
Stream: id 55 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_0_0 | period 200.0| deadline 26.04 | size 1273| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6']
Stream: id 63 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_0_2 | period 200.0| deadline 26.08 | size 434| injection delay:0['node0_0_0_1', 'sw_0_0', 'node0_0_0_2']['q7']
Stream: id 145 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_0 | period 100.0| deadline 26.24 | size 310| injection delay:1['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q6', 'q7', 'q6', 'q5']
Stream: id 131 | k_group 1 | q_n 3 | node0_0_1_3->node0_0_4_2 | period 40.0| deadline 26.28 | size 1452| injection delay:1['node0_0_1_3', 'sw_0_1', 'sw_0_2', 'sw_0_3', 'sw_0_4', 'node0_0_4_2']['q6', 'q7', 'q5', 'q7']
Stream: id 100 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_2_0 | period 200.0| deadline 26.32 | size 483| injection delay:1['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_0']['q7', 'q6', 'q5', 'q6', 'q5']
Stream: id 67 | k_group 1 | q_n 3 | node0_0_0_1->node0_0_1_1 | period 200.0| deadline 26.36 | size 715| injection delay:0['node0_0_0_1', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5']
Stream: id 148 | k_group 1 | q_n 3 | node0_0_5_3->node0_0_1_0 | period 40.0| deadline 26.48 | size 1283| injection delay:0['node0_0_5_3', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q7', 'q6', 'q5']
Stream: id 48 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_0_0 | period 100.0| deadline 26.76 | size 1131| injection delay:0['node0_0_4_3', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'node0_0_0_0']['q7', 'q6', 'q5']
Stream: id 135 | k_group 1 | q_n 3 | node0_0_5_2->node0_0_1_0 | period 100.0| deadline 26.84 | size 416| injection delay:1['node0_0_5_2', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_0']['q6', 'q5', 'q6']
Stream: id 171 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_4_1 | period 100.0| deadline 26.84 | size 1155| injection delay:1['node0_0_5_0', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q6', 'q7']
Stream: id 152 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_2_2 | period 100.0| deadline 27.04 | size 692| injection delay:1['node0_0_2_1', 'sw_0_2', 'node0_0_2_2']['q6']
Stream: id 71 | k_group 1 | q_n 3 | node0_0_4_3->node0_0_4_2 | period 100.0| deadline 27.28 | size 1462| injection delay:1['node0_0_4_3', 'sw_0_4', 'node0_0_4_2']['q7']
Stream: id 93 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_2_2 | period 40.0| deadline 27.48 | size 251| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_3', 'sw_0_2', 'node0_0_2_2']['q7', 'q6', 'q5']
Stream: id 65 | k_group 1 | q_n 3 | node0_0_5_1->node0_0_4_1 | period 100.0| deadline 27.76 | size 554| injection delay:0['node0_0_5_1', 'sw_0_5', 'sw_0_4', 'node0_0_4_1']['q6', 'q7']
Stream: id 47 | k_group 1 | q_n 3 | node0_0_0_3->node0_0_1_1 | period 200.0| deadline 27.84 | size 1139| injection delay:1['node0_0_0_3', 'sw_0_0', 'sw_0_1', 'node0_0_1_1']['q6', 'q5']
Stream: id 113 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_2_0 | period 100.0| deadline 27.84 | size 965| injection delay:0['node0_0_2_1', 'sw_0_2', 'node0_0_2_0']['q7']
Stream: id 111 | k_group 1 | q_n 3 | node0_0_5_0->node0_0_2_2 | period 200.0| deadline 28.4 | size 522| injection delay:1['node0_0_5_0', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'sw_0_2', 'node0_0_2_2']['q6', 'q7', 'q5', 'q6']
Stream: id 107 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_1_2 | period 200.0| deadline 28.44 | size 942| injection delay:0['node0_0_4_0', 'sw_0_4', 'sw_0_5', 'sw_0_0', 'sw_0_1', 'node0_0_1_2']['q6', 'q5', 'q7', 'q6']
Stream: id 94 | k_group 1 | q_n 3 | node0_0_2_1->node0_0_1_1 | period 200.0| deadline 28.64 | size 1223| injection delay:0['node0_0_2_1', 'sw_0_2', 'sw_0_1', 'node0_0_1_1']['q7', 'q6']
Stream: id 109 | k_group 1 | q_n 3 | node0_0_4_0->node0_0_4_2 | period 40.0| deadline 28.68 | size 538| injection delay:0['node0_0_4_0', 'sw_0_4', 'node0_0_4_2']['q6']
