FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_1,200,1304,node0_0_28_1|P2-sw_0_28|e125|4|P1-sw_0_29|e154|3|P5-sw_0_30|e158|4|node0_0_30_3
VLAN_0_Flow_8,50,936,node0_0_9_1|P5-sw_0_9|e61|7|node0_0_9_3
VLAN_0_Flow_9,650,1235,node0_0_4_0|P1-sw_0_4|e29|4|P2-sw_0_7|e36|3|P2-sw_0_12|e46|4|P2-sw_0_15|e78|3|P2-sw_0_20|e87|4|P1-sw_0_21|e120|3|P0-sw_0_22|e114|4|P2-sw_0_23|e115|3|P2-sw_0_28|e125|4|P1-sw_0_29|e154|3|P0-sw_0_30|e145|4|P2-sw_0_31|e146|3|node0_0_31_0
VLAN_0_Flow_13,100,1395,node0_0_25_0|P3-sw_0_25|e142|4|node0_0_25_1
VLAN_0_Flow_22,300,1595,node0_0_23_3|P1-sw_0_23|e114|2|P3-sw_0_22|e122|1|node0_0_22_1
VLAN_0_Flow_31,500,1526,node0_0_27_3|P2-sw_0_27|e109|2|P1-sw_0_28|e115|1|P1-sw_0_23|e114|2|P2-sw_0_22|e121|1|node0_0_22_0
VLAN_0_Flow_37,450,1256,node0_0_24_3|P0-sw_0_24|e134|4|P1-sw_0_25|e140|3|P0-sw_0_26|e108|4|P0-sw_0_27|e94|3|P0-sw_0_16|e92|4|P0-sw_0_17|e66|3|P2-sw_0_19|e67|4|P3-sw_0_20|e88|3|node0_0_20_0
VLAN_0_Flow_38,600,1577,node0_0_18_1|P0-sw_0_18|e93|2|P0-sw_0_16|e92|1|P0-sw_0_17|e66|2|P0-sw_0_19|e53|1|P6-sw_0_8|e57|2|node0_0_8_3
VLAN_0_Flow_39,400,1479,node0_0_11_2|P2-sw_0_11|e19|2|P1-sw_0_13|e72|1|P5-sw_0_14|e86|2|node0_0_14_3
VLAN_0_Flow_45,800,1483,node0_0_17_2|P0-sw_0_17|e66|2|P0-sw_0_19|e53|1|P0-sw_0_8|e51|2|P0-sw_0_9|e18|1|P0-sw_0_11|e3|2|P0-sw_0_0|e1|1|P5-sw_0_1|e12|2|node0_0_1_3
VLAN_0_Flow_49,350,1317,node0_0_8_0|P2-sw_0_8|e53|4|P1-sw_0_19|e66|3|P1-sw_0_17|e92|4|P2-sw_0_16|e94|3|P1-sw_0_27|e108|4|P4-sw_0_26|e152|3|node0_0_26_2
VLAN_0_Flow_52,200,1461,node0_0_21_1|P0-sw_0_21|e87|4|P1-sw_0_20|e78|3|P4-sw_0_15|e80|4|node0_0_15_1
VLAN_0_Flow_70,350,1184,node0_0_2_2|P1-sw_0_2|e13|4|P1-sw_0_4|e29|3|P2-sw_0_7|e36|4|P2-sw_0_12|e46|3|P2-sw_0_15|e78|4|P5-sw_0_20|e90|3|node0_0_20_2
VLAN_0_Flow_98,125,1094,node0_0_22_3|P0-sw_0_22|e114|7|P2-sw_0_23|e115|6|P0-sw_0_28|e109|5|P4-sw_0_27|e111|7|node0_0_27_1
VLAN_0_Flow_99,200,1417,node0_0_18_3|P0-sw_0_18|e93|4|P2-sw_0_16|e94|3|P5-sw_0_27|e112|4|node0_0_27_2
