FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,1200,1535,node0_0_11_3|P1-sw_0_11|e50|1|P0-sw_0_10|e35|2|P1-sw_0_9|e20|1|P0-sw_0_8|e3|2|P0-sw_0_0|e1|1|P1-sw_0_1|e8|2|P1-sw_0_2|e25|1|P1-sw_0_3|e30|2|P0-sw_0_4|e13|1|P4-sw_0_5|e16|2|node0_0_5_1
VLAN_0_Flow_7,900,1493,node0_0_8_2|P1-sw_0_8|e19|2|P1-sw_0_7|e44|1|P1-sw_0_6|e45|2|P1-sw_0_11|e50|1|P0-sw_0_10|e35|2|P0-sw_0_9|e14|1|P0-sw_0_5|e2|2|P4-sw_0_0|e5|1|node0_0_0_1
VLAN_0_Flow_9,75,703,node0_0_2_0|P0-sw_0_2|e8|7|P3-sw_0_1|e10|6|node0_0_1_1
VLAN_0_Flow_10,500,1131,node0_0_4_1|P1-sw_0_4|e30|7|P0-sw_0_3|e25|5|P0-sw_0_2|e8|6|P0-sw_0_1|e1|7|P1-sw_0_0|e2|6|P2-sw_0_5|e14|7|P2-sw_0_9|e35|5|P3-sw_0_10|e56|7|node0_0_10_1
VLAN_0_Flow_22,350,1254,node0_0_10_0|P3-sw_0_10|e56|3|node0_0_10_1
VLAN_0_Flow_23,50,802,node0_0_9_1|P6-sw_0_9|e39|7|node0_0_9_3
VLAN_0_Flow_26,250,1385,node0_0_5_3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P1-sw_0_8|e19|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_27,75,1035,node0_0_8_3|P1-sw_0_8|e19|7|P5-sw_0_7|e49|6|node0_0_7_3
VLAN_0_Flow_29,50,1149,node0_0_2_0|P5-sw_0_2|e29|7|node0_0_2_3
VLAN_0_Flow_31,800,1555,node0_0_7_0|P0-sw_0_7|e19|1|P0-sw_0_8|e3|2|P1-sw_0_0|e2|1|P5-sw_0_5|e17|2|node0_0_5_2
VLAN_0_Flow_34,200,1271,node0_0_2_2|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P6-sw_0_0|e7|4|node0_0_0_3
VLAN_0_Flow_36,125,811,node0_0_7_0|P0-sw_0_7|e19|7|P0-sw_0_8|e3|6|P1-sw_0_0|e2|5|P4-sw_0_5|e16|7|node0_0_5_1
VLAN_0_Flow_38,125,886,node0_0_3_3|P1-sw_0_3|e30|7|P0-sw_0_4|e13|6|P2-sw_0_5|e14|5|P6-sw_0_9|e39|7|node0_0_9_3
VLAN_0_Flow_40,600,1502,node0_0_5_0|P0-sw_0_5|e2|2|P2-sw_0_0|e3|1|P2-sw_0_8|e20|2|P2-sw_0_9|e35|1|P3-sw_0_10|e56|2|node0_0_10_1
VLAN_0_Flow_42,1200,1483,node0_0_11_2|P1-sw_0_11|e50|2|P0-sw_0_10|e35|1|P1-sw_0_9|e20|2|P0-sw_0_8|e3|1|P0-sw_0_0|e1|2|P1-sw_0_1|e8|1|P5-sw_0_2|e29|2|node0_0_2_3
VLAN_0_Flow_44,600,683,node0_0_7_2|P0-sw_0_7|e19|7|P0-sw_0_8|e3|6|P0-sw_0_0|e1|7|P1-sw_0_1|e8|6|P1-sw_0_2|e25|5|P1-sw_0_3|e30|6|P0-sw_0_4|e13|5|P2-sw_0_5|e14|6|P2-sw_0_9|e35|7|P1-sw_0_10|e50|5|P3-sw_0_11|e52|6|node0_0_11_1
VLAN_0_Flow_47,900,1496,node0_0_5_0|P2-sw_0_5|e14|2|P2-sw_0_9|e35|1|P1-sw_0_10|e50|2|P0-sw_0_11|e45|1|P0-sw_0_6|e44|2|P0-sw_0_7|e19|1|P0-sw_0_8|e3|2|P3-sw_0_0|e4|1|node0_0_0_0
VLAN_0_Flow_48,650,1452,node0_0_9_2|P0-sw_0_9|e14|3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P1-sw_0_8|e19|4|P1-sw_0_7|e44|3|P1-sw_0_6|e45|4|P3-sw_0_11|e52|3|node0_0_11_1
VLAN_0_Flow_49,125,922,node0_0_8_1|P2-sw_0_8|e20|7|P2-sw_0_9|e35|6|P1-sw_0_10|e50|5|P2-sw_0_11|e51|7|node0_0_11_0
VLAN_0_Flow_51,750,1341,node0_0_4_2|P0-sw_0_4|e13|3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P2-sw_0_8|e20|4|P2-sw_0_9|e35|3|P1-sw_0_10|e50|4|P0-sw_0_11|e45|3|P0-sw_0_6|e44|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_57,150,1214,node0_0_8_3|P0-sw_0_8|e3|4|P6-sw_0_0|e7|3|node0_0_0_3
VLAN_0_Flow_63,600,1340,node0_0_2_1|P0-sw_0_2|e8|4|P0-sw_0_1|e1|3|P1-sw_0_0|e2|4|P2-sw_0_5|e14|3|P2-sw_0_9|e35|4|P1-sw_0_10|e50|3|P3-sw_0_11|e52|4|node0_0_11_1
VLAN_0_Flow_67,1200,1497,node0_0_2_0|P0-sw_0_2|e8|1|P0-sw_0_1|e1|2|P2-sw_0_0|e3|1|P2-sw_0_8|e20|2|P0-sw_0_9|e14|1|P1-sw_0_5|e13|2|P1-sw_0_4|e30|1|P2-sw_0_3|e40|2|node0_0_3_0
VLAN_0_Flow_70,1200,1592,node0_0_8_3|P0-sw_0_8|e3|1|P0-sw_0_0|e1|2|P1-sw_0_1|e8|1|P1-sw_0_2|e25|2|P1-sw_0_3|e30|1|P0-sw_0_4|e13|2|P2-sw_0_5|e14|1|P2-sw_0_9|e35|2|P1-sw_0_10|e50|1|P3-sw_0_11|e52|2|node0_0_11_1
VLAN_0_Flow_72,350,1339,node0_0_7_0|P0-sw_0_7|e19|4|P0-sw_0_8|e3|3|P0-sw_0_0|e1|4|P1-sw_0_1|e8|3|P1-sw_0_2|e25|4|P4-sw_0_3|e42|3|node0_0_3_2
VLAN_0_Flow_73,200,1277,node0_0_8_0|P2-sw_0_8|e20|4|P2-sw_0_9|e35|3|P4-sw_0_10|e57|4|node0_0_10_2
VLAN_0_Flow_74,350,1343,node0_0_7_2|P1-sw_0_7|e44|3|P1-sw_0_6|e45|4|P3-sw_0_11|e52|3|node0_0_11_1
VLAN_0_Flow_75,250,1438,node0_0_5_3|P0-sw_0_5|e2|4|P2-sw_0_0|e3|3|P1-sw_0_8|e19|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_79,450,1320,node0_0_8_0|P2-sw_0_8|e20|4|P2-sw_0_9|e35|3|P1-sw_0_10|e50|4|P0-sw_0_11|e45|3|P0-sw_0_6|e44|4|P5-sw_0_7|e49|3|node0_0_7_3
VLAN_0_Flow_80,150,1284,node0_0_8_1|P2-sw_0_8|e20|4|P3-sw_0_9|e36|3|node0_0_9_0
VLAN_0_Flow_81,75,1069,node0_0_8_0|P1-sw_0_8|e19|7|P5-sw_0_7|e49|6|node0_0_7_3
VLAN_0_Flow_82,400,841,node0_0_7_1|P1-sw_0_7|e44|5|P1-sw_0_6|e45|6|P3-sw_0_11|e52|5|node0_0_11_1
VLAN_0_Flow_87,500,1292,node0_0_3_3|P0-sw_0_3|e25|4|P0-sw_0_2|e8|3|P3-sw_0_1|e10|4|node0_0_1_1
VLAN_0_Flow_88,150,1349,node0_0_9_2|P0-sw_0_9|e14|4|P4-sw_0_5|e16|3|node0_0_5_1
VLAN_0_Flow_89,50,880,node0_0_10_0|P3-sw_0_10|e56|7|node0_0_10_1
VLAN_0_Flow_91,100,1268,node0_0_7_2|P5-sw_0_7|e49|4|node0_0_7_3
VLAN_0_Flow_92,900,1597,node0_0_10_3|P1-sw_0_10|e50|1|P0-sw_0_11|e45|2|P0-sw_0_6|e44|1|P0-sw_0_7|e19|2|P0-sw_0_8|e3|1|P0-sw_0_0|e1|2|P5-sw_0_1|e12|1|node0_0_1_3
VLAN_0_Flow_95,125,728,node0_0_7_0|P0-sw_0_7|e19|7|P0-sw_0_8|e3|6|P0-sw_0_0|e1|5|P5-sw_0_1|e12|7|node0_0_1_3
VLAN_0_Flow_97,950,1194,node0_0_2_1|P1-sw_0_2|e25|4|P1-sw_0_3|e30|3|P0-sw_0_4|e13|4|P2-sw_0_5|e14|3|P2-sw_0_9|e35|4|P1-sw_0_10|e50|3|P0-sw_0_11|e45|4|P0-sw_0_6|e44|3|P0-sw_0_7|e19|4|P0-sw_0_8|e3|3|P0-sw_0_0|e1|4|P2-sw_0_1|e9|3|node0_0_1_0
VLAN_0_Flow_99,75,910,node0_0_2_2|P1-sw_0_2|e25|7|P4-sw_0_3|e42|6|node0_0_3_2
VLAN_0_Flow_100,200,1277,node0_0_11_3|P0-sw_0_11|e45|4|P0-sw_0_6|e44|3|P5-sw_0_7|e49|4|node0_0_7_3
