FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_18,10,721,node0_0_3_0|P5-sw_0_3|e30|7|node0_0_3_3
VLAN_0_Flow_23,100,1034,node0_0_23_0|P0-sw_0_23|e107|2|P0-sw_0_16|e106|1|P1-sw_0_17|e113|2|P6-sw_0_18|e124|1|node0_0_18_4
VLAN_0_Flow_28,120,1087,node0_0_3_0|P0-sw_0_3|e8|2|P0-sw_0_1|e1|1|P1-sw_0_0|e2|2|P1-sw_0_2|e14|1|P5-sw_0_7|e36|2|node0_0_7_2
VLAN_0_Flow_34,20,960,node0_0_23_4|P5-sw_0_23|e118|4|node0_0_23_3
VLAN_0_Flow_45,180,1025,node0_0_10_2|P0-sw_0_10|e61|2|P0-sw_0_8|e60|1|P0-sw_0_9|e20|2|P0-sw_0_11|e3|1|P0-sw_0_0|e1|2|P1-sw_0_1|e8|1|P1-sw_0_3|e26|2|P2-sw_0_4|e39|1|node0_0_4_0
VLAN_0_Flow_58,60,1100,node0_0_0_1|P0-sw_0_0|e1|2|P2-sw_0_1|e9|1|node0_0_1_0
VLAN_0_Flow_61,15,782,node0_0_14_1|P1-sw_0_14|e90|7|P4-sw_0_13|e103|6|node0_0_13_2
VLAN_0_Flow_71,100,1051,node0_0_14_2|P0-sw_0_14|e84|2|P2-sw_0_15|e85|1|P2-sw_0_20|e96|2|P5-sw_0_21|e134|1|node0_0_21_3
VLAN_0_Flow_81,30,939,node0_0_2_1|P1-sw_0_2|e14|4|P6-sw_0_7|e37|3|node0_0_7_3
VLAN_0_Flow_82,70,997,node0_0_18_1|P0-sw_0_18|e78|4|P2-sw_0_19|e79|3|P1-sw_0_20|e85|4|P1-sw_0_15|e84|3|P1-sw_0_14|e90|4|P4-sw_0_13|e103|3|node0_0_13_2
VLAN_0_Flow_113,80,1049,node0_0_12_0|P2-sw_0_12|e50|2|P1-sw_0_13|e90|1|P5-sw_0_14|e94|2|node0_0_14_3
VLAN_0_Flow_115,50,970,node0_0_12_2|P2-sw_0_12|e50|4|P1-sw_0_13|e90|3|P0-sw_0_14|e84|4|P3-sw_0_15|e86|3|node0_0_15_0
VLAN_0_Flow_125,45,794,node0_0_20_2|P1-sw_0_20|e85|7|P1-sw_0_15|e84|6|P1-sw_0_14|e90|5|P0-sw_0_13|e50|7|P1-sw_0_12|e33|6|P1-sw_0_7|e32|5|P1-sw_0_6|e44|7|P6-sw_0_5|e59|6|node0_0_5_4
