FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,220,2000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_1,100,2000,node0_0_0_6|P0-sw_0_8|e1|7|P2-sw_0_1|e4|5|P1-sw_0_2|e7|7|node0_0_0_3
VLAN_0_Flow_2,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_4,200,1000,node0_0_0_6|P0-sw_0_8|e1|5|P2-sw_0_1|e4|7|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_5,180,5000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|7|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_6,340,2000,node0_0_0_6|P0-sw_0_8|e1|5|P1-sw_0_1|e3|6|P1-sw_0_0|e8|5|P3-sw_0_2|e9|6|P3-sw_0_4|e11|7|node0_0_0_9
VLAN_0_Flow_7,120,5000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P3-sw_0_2|e9|7|P3-sw_0_4|e11|6|node0_0_0_9
VLAN_0_Flow_8,260,1000,node0_0_0_6|P0-sw_0_8|e1|6|P4-sw_0_1|e6|7|P1-sw_0_5|e12|6|P3-sw_0_4|e11|5|node0_0_0_9
VLAN_0_Flow_9,200,1000,node0_0_0_6|P0-sw_0_8|e1|6|P2-sw_0_1|e4|5|P3-sw_0_2|e9|7|P3-sw_0_4|e11|5|node0_0_0_9
VLAN_0_Flow_10,320,2000,node0_0_0_6|P0-sw_0_8|e1|6|P3-sw_0_1|e5|7|P3-sw_0_4|e11|5|node0_0_0_9
VLAN_0_Flow_11,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P3-sw_0_4|e11|4|node0_0_0_9
VLAN_0_Flow_12,160,10000,node0_0_0_6|P0-sw_0_8|e1|4|P3-sw_0_1|e5|3|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_13,280,5000,node0_0_0_6|P0-sw_0_8|e1|7|P4-sw_0_1|e6|5|P1-sw_0_5|e12|6|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_14,80,10000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_15,120,10000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_16,60,1000,node0_0_0_9|P2-sw_0_4|e10|6|node0_0_0_7
VLAN_0_Flow_17,80,10000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_18,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
VLAN_0_Flow_19,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_20,120,1000,node0_0_0_9|P0-sw_0_4|e5|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_21,100,1000,node0_0_0_9|P2-sw_0_4|e10|7|node0_0_0_7
VLAN_0_Flow_22,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_23,400,10000,node0_0_0_9|P2-sw_0_4|e10|2|node0_0_0_7
VLAN_0_Flow_24,80,5000,node0_0_0_9|P2-sw_0_4|e10|4|node0_0_0_7
VLAN_0_Flow_25,200,2000,node0_0_0_9|P4-sw_0_4|e12|6|P0-sw_0_5|e6|5|P1-sw_0_1|e3|7|P1-sw_0_0|e8|6|P1-sw_0_2|e7|5|node0_0_0_3
VLAN_0_Flow_26,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_27,360,1000,node0_0_0_9|P4-sw_0_4|e12|5|P0-sw_0_5|e6|6|P2-sw_0_1|e4|5|P1-sw_0_2|e7|6|node0_0_0_3
VLAN_0_Flow_28,120,5000,node0_0_0_9|P1-sw_0_4|e9|4|P1-sw_0_2|e7|3|node0_0_0_3
VLAN_0_Flow_29,600,10000,node0_0_0_9|P1-sw_0_4|e9|2|P1-sw_0_2|e7|1|node0_0_0_3
