FlowName,maxE2E(us),Deadline(us),Path(SourceName|LinkID|Qnumber)
VLAN_0_Flow_0,100,1234,node0_0_11_4|e61|sw_0_11-P3|e58|4|node0_0_11_1
VLAN_0_Flow_6,200,1149,node0_0_10_4|e66|sw_0_10-P1|e56|4|sw_0_11-P0|e45|3|sw_0_6-P2|e46|4|node0_0_6_0
VLAN_0_Flow_8,50,861,node0_0_6_2|e48|sw_0_6-P5|e49|7|node0_0_6_3
VLAN_0_Flow_11,250,1034,node0_0_8_1|e23|sw_0_8-P2|e21|4|sw_0_9-P0|e15|3|sw_0_5-P1|e14|4|sw_0_4-P2|e33|3|node0_0_4_0
VLAN_0_Flow_30,400,1018,node0_0_10_3|e65|sw_0_10-P1|e56|4|sw_0_11-P0|e45|3|sw_0_6-P0|e44|4|sw_0_7-P0|e20|3|sw_0_8-P0|e3|4|sw_0_0-P0|e1|3|sw_0_1-P5|e12|4|node0_0_1_3
VLAN_0_Flow_33,100,1046,node0_0_8_3|e25|sw_0_8-P3|e22|4|node0_0_8_0
VLAN_0_Flow_35,500,1284,node0_0_7_2|e53|sw_0_7-P0|e20|2|sw_0_8-P0|e3|1|sw_0_0-P1|e2|2|sw_0_5-P4|e17|1|node0_0_5_1
VLAN_0_Flow_49,50,860,node0_0_4_1|e34|sw_0_4-P6|e37|7|node0_0_4_4
VLAN_0_Flow_50,100,1038,node0_0_6_1|e47|sw_0_6-P5|e49|4|node0_0_6_3
VLAN_0_Flow_53,150,993,node0_0_2_0|e27|sw_0_2-P0|e8|4|sw_0_1-P6|e13|3|node0_0_1_4
VLAN_0_Flow_78,100,1113,node0_0_4_1|e34|sw_0_4-P5|e36|4|node0_0_4_3
VLAN_0_Flow_79,600,1383,node0_0_1_2|e11|sw_0_1-P0|e1|2|sw_0_0-P1|e2|1|sw_0_5-P2|e15|2|sw_0_9-P1|e21|1|sw_0_8-P3|e22|2|node0_0_8_0
VLAN_0_Flow_85,400,1303,node0_0_1_2|e11|sw_0_1-P0|e1|2|sw_0_0-P2|e3|1|sw_0_8-P5|e24|2|node0_0_8_2
VLAN_0_Flow_87,500,1267,node0_0_8_3|e25|sw_0_8-P0|e3|2|sw_0_0-P1|e2|1|sw_0_5-P1|e14|2|sw_0_4-P5|e36|1|node0_0_4_3
VLAN_0_Flow_92,100,1158,node0_0_8_3|e25|sw_0_8-P5|e24|4|node0_0_8_2
VLAN_0_Flow_94,300,1391,node0_0_11_0|e57|sw_0_11-P1|e56|2|sw_0_10-P2|e62|1|node0_0_10_0
VLAN_0_Flow_105,100,1187,node0_0_7_4|e55|sw_0_7-P5|e54|4|node0_0_7_3
VLAN_0_Flow_107,700,1344,node0_0_7_1|e52|sw_0_7-P0|e20|2|sw_0_8-P0|e3|1|sw_0_0-P0|e1|2|sw_0_1-P1|e8|1|sw_0_2-P1|e26|2|sw_0_3-P2|e39|1|node0_0_3_0
VLAN_0_Flow_112,200,1298,node0_0_1_2|e11|sw_0_1-P3|e10|2|node0_0_1_1
VLAN_0_Flow_117,350,1126,node0_0_11_2|e59|sw_0_11-P0|e45|4|sw_0_6-P0|e44|3|sw_0_7-P0|e20|4|sw_0_8-P0|e3|3|sw_0_0-P0|e1|4|sw_0_1-P2|e9|3|node0_0_1_0
VLAN_0_Flow_121,700,1323,node0_0_8_1|e23|sw_0_8-P0|e3|2|sw_0_0-P0|e1|1|sw_0_1-P1|e8|2|sw_0_2-P1|e26|1|sw_0_3-P1|e32|2|sw_0_4-P5|e36|1|node0_0_4_3
VLAN_0_Flow_136,150,606,node0_0_7_4|e55|sw_0_7-P0|e20|7|sw_0_8-P0|e3|6|sw_0_0-P1|e2|5|sw_0_5-P6|e19|6|node0_0_5_3
VLAN_0_Flow_139,50,925,node0_0_4_2|e35|sw_0_4-P2|e33|7|node0_0_4_0
VLAN_0_Flow_141,400,1308,node0_0_6_2|e48|sw_0_6-P1|e45|2|sw_0_11-P1|e56|1|sw_0_10-P2|e62|2|node0_0_10_0
